date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:19	160531/160531	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2019:44:52%20GMT	https://sifuochwingchun.com/	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/index.html	(from )
14:40:19	177/177	---M--	200	added ('OK')	text/plain	date:Fri,%2001%20Mar%202024%2019:44:52%20GMT	https://sifuochwingchun.com/robots.txt		(from )
14:40:20	47664/47664	---MCZ	200	added ('OK')	text/css	etag:W/%2265de467a-ba30%22	https://sifuochwingchun.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.2.9	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-content/plugins/instagram-feed/css/sbi-styles.min0192.css	(from https://sifuochwingchun.com/)
14:40:20	31884/31884	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2251f9510d70a2e557b833e2e274ad8805-gzip%22	https://sifuochwingchun.com/comments/feed/	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/comments/feed/index.html	(from https://sifuochwingchun.com/)
14:40:20	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%2265b15ec4-1ae43%22	https://sifuochwingchun.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-includes/css/dist/block-library/style.min84fc.css	(from https://sifuochwingchun.com/)
14:40:22	127/127	---M--	200	added ('OK')	text/css	etag:%225f78144a-7f%22	http://sifuochwingchun.com/wp-content/uploads/sass/a3_lazy_load.min.css?ver=1601705034	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-content/uploads/sass/a3_lazy_load.mine8a3.css	(from https://sifuochwingchun.com/)
14:40:22	311/311	---MCZ	200	added ('OK')	text/css	etag:W/%2265c2995a-137%22	http://sifuochwingchun.com/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner.css?ver=6.4.3	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner84fc.css	(from https://sifuochwingchun.com/)
14:40:22	266087/266087	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2251f9510d70a2e557b833e2e274ad8805-gzip%22	https://sifuochwingchun.com/feed/	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/feed/index.html	(from https://sifuochwingchun.com/)
14:40:23	1785856/1785856	---MCZ	200	added ('OK')	text/css	etag:W/%225fa896e8-1b4000%22	https://sifuochwingchun.com/wp-content/themes/sifu-och/dist/style.css	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-content/themes/sifu-och/dist/style.css	(from https://sifuochwingchun.com/)
14:40:23	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://sifuochwingchun.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/projects/layer3tooling/wing-chun-chatbot/wing-chun-lakeland/sifuochwingchun.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://sifuochwingchun.com/)
